Platzkonzert Bruckhäusl;26.06.2020; - Uhr;Stockclub Bruckhäusl
<s>Cäcilienfeier</s>;22.11.2019;19:00 Uhr;VS Bruckhäusl
<s>Platzkonzert Bruckhäusl</s>;28.06.2019;19:00 Uhr;Stockclub Bruckhäusl
<s>Familiengottesdienst [Bläserklasse]</s>;16.06.2019;10:00 Uhr;Kirche Bruckhäusl
